"Datum","Transaktionstyp","Transaktionsnummer","Produktdetails","Artikelpreise gesamt","Gesamtsumme der Aktionsrabatte","Amazon-Gebühren","Andere","Summe (EUR)"
"28.7.2026","Nicht verfügbarer Saldo","---","Aktueller Reservebetrag","0","0","0","-28.01","-28.01"
"27.7.2026","Bezahlung der Bestellung","171-2220660-3758737","LEGO Star Wars Casco del Comandante Clon...","99.99","0","-37.15","3.99","66.83"
"23.7.2026","Andere","---","Korrektur der fehlgeschlagenen Auszahlung vom 20.–21. Juli","0","0","0","-35.95","-35.95"
"21.7.2026","Übertrag","---","Auszahlung fehlgeschlagen","0","0","0","35.95","35.95"
"20.7.2026","Service-Gebühren","---","Versand durch Amazon – Langzeitlagergebü...","0","0","-0.18","0","-0.18"
"19.7.2026","Nicht verfügbarer Saldo aus vorausgehender Abrechnung","---","Vorheriger Reserverestbetrag","0","0","0","28.01","28.01"
